role,filename,size_bytes,sha256
primary_N100_MAT,pred_sprinting_data_24-June-2026__23-17-49___PelvisTDwide_m8.mat,9169607,094aec7bb697e0b6b47d501812ea689f649875e0810590a77ec053e57a6675d2
primary_N100_MAT,pred_sprinting_data_25-June-2026__00-01-41___PelvisTDwide_m6.mat,9149836,98ef566bc467e57c9cf9b8a9cf9e558377a8746e056c05b57f0049125033dc30
primary_N100_MAT,pred_sprinting_data_25-June-2026__01-05-16___PelvisTDwide_m4.mat,9157553,f279404da2b85bac23100d5f28c57306e233d679cc998aac4aa92379498a11a6
primary_N100_MAT,pred_sprinting_data_25-June-2026__02-31-10___PelvisTDwide_m2.mat,9158046,b06776c23ff87c20dee08c2e9e821899db45f04e09f6c81c687c0eecdb412d38
primary_N100_MAT,pred_sprinting_data_25-June-2026__03-15-59___PelvisTDwide_p0.mat,9155771,e867eb10b0fb5dfb43e5a27c4181acbd0c4698c07e761ca7ec3b257ab0ced8c6
primary_N100_MAT,pred_sprinting_data_25-June-2026__04-33-19___PelvisTDwide_p2.mat,9180632,ddd171919a40844047b31959d088ca4f1f083cb4f15110ed5b0330ef0a4030ed
primary_N100_MAT,pred_sprinting_data_25-June-2026__05-43-11___PelvisTDwide_p4.mat,9186560,7192ae517c78d5f2b7da4ac3330598768bbd8921461fd434b8d49d197fb9420b
primary_N100_MAT,pred_sprinting_data_25-June-2026__07-24-05___PelvisTDwide_p6.mat,9182097,c989678c467188931b0b3fe9db116f437134359eb141f2023d3a1f92029e7f10
nominal_N100_MAT,pred_sprinting_data_10-April-2026__16-29-40___Nominal.mat,9165068,c75590b503864a82223da7304be944b2ae9b3bad1c61b1309a5b43c45c58738b
nominal_coords_mot,pred_sprinting_coords_10-April-2026__16-29-40___Nominal.mot,321264,9426557028428809b229cbf7a85124fd23018ea8824eb7c0f5367740b5f94a0a
nominal_acts_sto,pred_sprinting_acts_10-April-2026__16-29-40___Nominal.sto,783754,aeb742b5b0b01568200ee5b5e49950328bb29db513b250f3bc61e67cf6bd6f96
experimental_IK,Splined_100_meshInts_p02_maxVel_01.mot,321277,37b8da6ff0beae6b0639f1c55a584fe1e549ae732fce2d58d1183c5d0f260e2c
opensim_model,Scaled_FullBody_HamnerModel_Muscle_withContact.osim,754704,463a05193ebf6c2db263f9322768aa35d5949a905c215e55fb7a1dda493d5a7a
adaptive_m8_coords,pred_sprinting_coords_24-June-2026__23-17-49___PelvisTDwide_m8.mot,321271,f665a1bd6b9ee58b4977930de82e06f8a85656a1bec3aee00f828586c84d152a
pareto_MAT,pred_sprinting_data_15-August-2026__19-53-23___HamPareto_Nom_w0000.mat,9143325,e99ad0277a1518aa9fa53f6dc476640ca4ec0bd8decd3abe299347b56fffd7f3
pareto_MAT,pred_sprinting_data_15-August-2026__21-57-37___HamPareto_Nom_w0050.mat,9163064,9599cb7ae652c21c385468cfc1f9dac91e8191e1fd0f88d7bca27c2e4c8b8190
pareto_MAT,pred_sprinting_data_15-August-2026__23-30-42___HamPareto_Nom_w0100.mat,9163159,afdb9a0e8f49daa8100ca1e1c234dd3dae57e01222eee4d94315c53005150751
pareto_MAT,pred_sprinting_data_16-August-2026__02-26-49___HamPareto_Nom_w0200.mat,9183525,d8d44a01d78cb8f9c0186a1ac7857aed20e15287d39063b40b2bf98b46b06a22
pareto_MAT,pred_sprinting_data_16-August-2026__03-57-45___HamPareto_Nom_w0100.mat,9168348,f1abb14c428edb0a0682afb4738876ba2ba81d86c126f631c154bbea8afcb454
pareto_MAT,pred_sprinting_data_16-August-2026__05-49-46___HamPareto_Nom_w0200.mat,9182882,ed0735a300562dd5221fdd134e9ba54720d9559ecd4262251154718f28d5f9cb
pareto_MAT,pred_sprinting_data_16-August-2026__07-39-58___HamPareto_Nom_w0100.mat,9159848,d98ac73fa1ff686a7778ee5dec2e46a5a155900a954c299eed3b82574c0e2080
